type_var,year,typeTotal
Bottom otter trawls,2009,22.2317910674872
Bottom otter trawls,2010,31.7871006945508
Bottom otter trawls,2011,194.053238693917
Bottom otter trawls,2012,676.145212056553
Bottom otter trawls,2013,2812.11330704147
Bottom otter trawls,2014,3432.49565723915
Bottom otter trawls,2015,1695.55618037257
Bottom otter trawls,2016,1611.67510146996
Bottom otter trawls,2017,1646.76492457592
Bottom otter trawls,2018,3100.57163122535
Bottom seines,2011,41.7436933591333
Bottom seines,2012,49.4315627997808
Bottom seines,2013,62.8471268600085
Bottom seines,2014,74.2715142359779
Bottom seines,2015,66.0590362669356
Bottom seines,2016,77.8050102514027
Bottom seines,2017,77.7864436336571
Pelagic trawls and seines,2009,36.2410788446489
Pelagic trawls and seines,2010,44.9807131019904
Pelagic trawls and seines,2011,365.935150245002
Pelagic trawls and seines,2012,308.876320666999
Pelagic trawls and seines,2013,205.147992279519
Pelagic trawls and seines,2014,126.274808223307
Pelagic trawls and seines,2015,114.324736752507
Pelagic trawls and seines,2016,117.525026164891
Pelagic trawls and seines,2017,115.073461166697
Pelagic trawls and seines,2018,7.2410514387889
Static gears,2011,52.204151898516
Static gears,2012,60.6353724146105
Static gears,2013,61.1348173775689
Static gears,2014,54.4307888485707
Static gears,2015,51.1142934598062
Static gears,2016,52.5727990509097
Static gears,2017,46.0386926630253
