type_var,YEAR,typeTotal
atlantic cod,1950,475.422
atlantic cod,1951,632.076
atlantic cod,1952,608.841
atlantic cod,1953,415.313
atlantic cod,1954,412.242
atlantic cod,1955,1215.009
atlantic cod,1956,1424.864
atlantic cod,1957,844.113
atlantic cod,1958,791.204
atlantic cod,1959,829.177
atlantic cod,1960,795.248
atlantic cod,1961,880.412
atlantic cod,1962,929.328
atlantic cod,1963,804.075
atlantic cod,1964,468.535
atlantic cod,1965,481.484
atlantic cod,1966,557.662
atlantic cod,1967,619.352
atlantic cod,1968,1102.807
atlantic cod,1969,1230.209
atlantic cod,1970,956.049
atlantic cod,1971,729.122
atlantic cod,1972,648.011
atlantic cod,1973,834.304
atlantic cod,1974,1142.944
atlantic cod,1975,886.121
atlantic cod,1976,908.007
atlantic cod,1977,945.315
atlantic cod,1978,732.743
atlantic cod,1979,485.361
atlantic cod,1980,420.197
atlantic cod,1981,433.71
atlantic cod,1982,403.593
atlantic cod,1983,327.993
atlantic cod,1984,315.323
atlantic cod,1985,335.738
atlantic cod,1986,454.421
atlantic cod,1987,551.954
atlantic cod,1988,458.797
atlantic cod,1989,348.499
atlantic cod,1990,209.508
atlantic cod,1991,294.272
atlantic cod,1992,421.025
atlantic cod,1993,575.189
atlantic cod,1994,795.216
atlantic cod,1995,763.319
atlantic cod,1996,758.315
atlantic cod,1997,791.795
atlantic cod,1998,615.295
atlantic cod,1999,506.117
atlantic cod,2000,412.67
atlantic cod,2001,445.534
atlantic cod,2002,453.407
atlantic cod,2003,448.97
atlantic cod,2004,504.362
atlantic cod,2005,485.34
atlantic cod,2006,469.5457
atlantic cod,2007,449.9977
atlantic cod,2008,452.48161
atlantic cod,2009,516.2852
atlantic cod,2010,603.73851
atlantic cod,2011,709.10622
atlantic cod,2012,750.67484
atlantic cod,2013,999.33015
atlantic cod,2014,1002.23555
atlantic cod,2015,896.574772
atlantic cod,2016,896.550617
atlantic cod,2017,901.684223
atlantic redfishes nei,1950,25.555
atlantic redfishes nei,1951,45.301
atlantic redfishes nei,1952,56.17
atlantic redfishes nei,1953,27.434
atlantic redfishes nei,1954,31.181
atlantic redfishes nei,1955,62.033
atlantic redfishes nei,1956,62.502
atlantic redfishes nei,1957,97.425
atlantic redfishes nei,1958,89.922
atlantic redfishes nei,1959,108.809
atlantic redfishes nei,1960,87.067
atlantic redfishes nei,1961,65.441
atlantic redfishes nei,1962,35.889
atlantic redfishes nei,1963,42.153
atlantic redfishes nei,1964,66.711
atlantic redfishes nei,1965,39.996
atlantic redfishes nei,1966,35.764
atlantic redfishes nei,1967,23.942
atlantic redfishes nei,1968,18.738
atlantic redfishes nei,1969,30.907
atlantic redfishes nei,1970,35.616
atlantic redfishes nei,1971,58.879
atlantic redfishes nei,1972,46.592
atlantic redfishes nei,1973,59.601
atlantic redfishes nei,1974,95.375
atlantic redfishes nei,1975,273.484
atlantic redfishes nei,1976,313.469
atlantic redfishes nei,1977,185.698
atlantic redfishes nei,1978,120.918
atlantic redfishes nei,1979,111.549
atlantic redfishes nei,1980,102.554
atlantic redfishes nei,1981,97.526
atlantic redfishes nei,1982,131.749
atlantic redfishes nei,1983,121.139
atlantic redfishes nei,1984,101.313
atlantic redfishes nei,1985,92.513
atlantic redfishes nei,1986,53.286
atlantic redfishes nei,1987,34.12
atlantic redfishes nei,1988,40.501
atlantic redfishes nei,1989,46.345
atlantic redfishes nei,1990,62.733
atlantic redfishes nei,1991,67.127
atlantic redfishes nei,1992,31.706
atlantic redfishes nei,1993,29.353
atlantic redfishes nei,1994,30.809
atlantic redfishes nei,1995,25.869
atlantic redfishes nei,1996,26.076
atlantic redfishes nei,1997,26.065
atlantic redfishes nei,1998,33.031
atlantic redfishes nei,1999,33.89
atlantic redfishes nei,2000,7.183
atlantic redfishes nei,2001,1.476
atlantic redfishes nei,2002,3.737
atlantic redfishes nei,2003,0.785
atlantic redfishes nei,2004,1.264
atlantic redfishes nei,2005,1.782
atlantic redfishes nei,2006,13.0013
atlantic redfishes nei,2007,7.5315
atlantic redfishes nei,2008,3.0553
atlantic redfishes nei,2009,1.96131
atlantic redfishes nei,2010,1.8283
atlantic redfishes nei,2011,1.36389
atlantic redfishes nei,2012,1.41735
atlantic redfishes nei,2013,1.77067
atlantic redfishes nei,2014,2.12705
atlantic redfishes nei,2015,2.464444
atlantic redfishes nei,2016,3.501352
atlantic redfishes nei,2017,2.959439
capelin,1950,0
capelin,1951,0
capelin,1952,0
